id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
51276,-38.5585,53.6139,59.0265,0.046,39.50137,0.73,5.47,1,288.75,1,11.29,4.25,-12.28,-8.505,-5.723,15.996,60044,HIP60044 HD107193 Gli  
3528,-5.1774,6.5988,-153.1447,0.946,118.44178,-0.46,5.47,1,500,1,6.52,13.96,-31.251,-3.01,-16.612,35.519,4104,HIP4104 HD5098 Gli  
35871,-34.48,19.4893,27.9452,0.071,11.83046,2.04,5.47,1,158.02,1,20.63,3.44,1.236,-14.169,-16.619,21.874,42080,HIP42080 HD72037 Gli 2UMa 
77405,55.1288,91.8855,32.9544,-0.03,63.28057,0.22,5.47,1,365.47,1,8.92,5.83,-12.692,-5.997,-8.526,16.423,90923,HIP90923 HD171301 Gli  
12039,-136.8638,97.8236,-30.3215,0.671,147.12564,-0.69,5.47,1,557.26,1,5.85,12.82,-0.683,0.071,20.064,20.075,13965,HIP13965 HD18474 Gli  
61892,12.8635,24.6941,54.6251,0.902,18.92745,1.53,5.47,1,199.88,1,16.31,3.74,-74.646,-58.305,-46.853,105.673,72582,HIP72582 HD131111 Gli  
29548,-86.1508,-32.1596,17.6331,0.82,44.14257,0.61,5.47,1,305.24,1,10.68,7.68,-1.726,-35.789,-15.738,39.134,34440,HIP34440 HD54131 Gli 45Gem 
66839,29.1791,-2.5973,14.7486,0.451,5.41608,2.89,5.47,1,106.92,1,30.49,3.08,-8.441,-96.33,54.049,110.779,78400,HIP78400 HD143333 Gli 49Lib 
94155,-57.2129,145.6073,31.0183,0.991,128.0752,-0.54,5.47,1,519.94,1,6.27,12.12,-7.838,-21.135,-8.181,23.981,110725,HIP110725 HD213022 Gli  
55627,72.6333,-94.9722,20.8028,-0.083,74.1559,0.05,5.47,1,395.63,1,8.24,8.13,-2.822,-26.44,2.342,26.693,65112,HIP65112 HD115823 Gli  
23643,-289.3787,-50.0957,-27.9697,0.266,438.20639,-1.88,5.47,1,961.74,2,2.57,36.96,-11.936,-5.37,-6.58,14.65,27338,HIP27338 HD38558 Gli 130Tau 
19660,-124.477,83.1713,32.2441,1.542,118.07929,-0.46,5.47,1,499.23,1,6.53,10.87,-26.059,-68.197,-23.37,76.655,22626,HIP22626 HD30442 Gli  
76751,41.6035,-35.8276,-24.8773,0.021,18.29394,1.57,5.47,1,196.5,1,16.59,3.44,-0.13,1.51,-0.699,1.669,90133,HIP90133 HD167468 Gli Phi Oct 
77396,1055.363,334.588,-51.8849,1.038,6185.16602,-4.75,5.47,1,3613.21,2,2.57,29.96,20.641,-3.352,-6.674,21.951,90913,HIP90913 HD170975 Gli  
38362,-92.609,-151.7951,84.4506,0.82,195.10693,-1,5.47,1,641.73,1,5.08,19.88,-23.983,-27.111,-1.145,36.215,44961,HIP44961 HD78732 Gli 20Hya 
36950,-61.9249,-406.7775,16.3269,0.071,853.78204,-2.6,5.47,1,1342.43,2,2.05,25.37,-14.588,-17.261,-14.748,26.986,43325,HIP43325 HD75630 Gli  
18207,-53.6863,66.686,36.6088,0.82,43.65073,0.63,5.47,1,303.54,1,10.74,5.03,61.83,1.677,-3.456,61.949,20982,HIP20982 HD26659 Gli  
90124,76.0048,-56.8101,-75.893,1.748,74.33622,0.05,5.47,1,396.11,1,8.23,7.78,7.766,-39.734,-75.793,85.929,106044,HIP106044 HD203881 Gli  
18255,-41.185,-0.589,-16.4319,-0.63,9.90164,2.24,5.47,1,144.57,1,22.55,4.83,-45.263,-17.838,-2.065,48.695,21039,HIP21039 HD28546 Gli 81Tau 
72234,8.3352,-2.6606,-0.8064,1.416,0.38872,5.75,5.47,1,28.64,1,113.81,1.19,24.065,20.156,-36.973,48.502,84720,HIP84720 HD156274 Gli  
75834,14.8372,-7.8197,-5.8288,0.54,1.58736,4.22,5.47,1,57.88,1,56.32,1.21,12.278,-4.178,4.043,13.585,89042,HIP89042 HD165499 Gli Iot Pav 
52159,-4.2474,-7.6393,94.9273,0.071,45.75611,0.57,5.47,1,310.77,1,10.49,7.91,-3.142,-6.078,2.845,7.411,61071,HIP61071 HD108945 Gli 21Com 
19867,53.5488,-173.9075,-120.6704,1.189,240.03203,-1.23,5.47,1,711.79,1,4.58,10.26,-23.196,12.485,41.466,49.126,22871,HIP22871 HD32440 Gli Eta Men 
76034,493.3583,-70.3288,-96.5588,-0.181,1297.3811,-3.06,5.47,1,1654.82,1,1.97,42.64,-2.68,-8.722,4.899,10.356,89290,HIP89290 HD166596 Gli  
22263,-132.4208,-2.8986,-11.8184,-0.005,89.03575,-0.15,5.47,1,433.51,1,7.52,14.49,-27.235,-21.651,-7.454,35.581,25695,HIP25695 HD35943 Gli 118Tau 
45958,-107.1206,27.186,201.6494,1.137,266.23306,-1.34,5.47,1,749.63,2,3.7,21.08,4.872,7.151,10.663,13.732,53781,HIP53781 HD95212 Gli  
