22038,-40.0664,1.4034,-2.6242,-0.056,274.12604,-1.37,1.65,1,130.98,1,24.89,3.54,-26.782,-25.85,-14.181,39.832,25428,HIP25428 HD35497 Gli Bet Tau  El Nath
38593,9.0873,-31.7359,-8.4802,0.071,193.6778,-0.99,1.67,1,111.11,1,29.34,1.6,-26.19,20.106,-11.149,34.85,45238,HIP45238 HD80007 Gli Bet Car  Miaplacidus
22770,-550.8742,-259.3621,-188.962,-0.257,66526.40625,-7.33,1.69,1,2078.33,2,2.43,37.45,-25.25,-16.521,-6.151,30.795,26311,HIP26311 HD37128 Gli Eps Ori  Alnilam
92882,18.6528,-3.2893,-24.6602,-0.056,152.53445,-0.73,1.73,1,101.37,1,32.16,2.55,4.337,-14.504,-34.995,38.129,109268,HIP109268 HD209952 Gli Alp Gru  Al Na'ir
23129,-215.0528,-106.9968,-71.5379,-0.273,9818.70508,-5.26,1.74,1,817.04,1,3.99,19.8,-10.695,-5.724,1.907,12.279,26727,HIP26727 HD37742 Gli  
34050,-32.0017,-253.404,-34.4686,-0.336,10288.13281,-5.31,1.75,1,840.21,1,3.88,13.66,-7.721,0.748,-3.941,8.701,39953,HIP39953 HD68273 Gli Gam2 Vel 
53770,-6.3738,10.129,21.7372,0.021,94.49088,-0.21,1.76,1,80.89,1,40.3,1.54,14.106,2.857,-7.691,16.319,62956,HIP62956 HD112185 Gli Eps UMa  Alioth
13727,-150.668,99.4661,-18.537,0.396,4916.96094,-4.5,1.79,1,591.65,1,5.51,11.98,-20.246,-22.061,-6.679,30.679,15863,HIP15863 HD20902 Gli Alp Per  Mirfak
76799,43.6935,-0.6148,-7.5537,0.008,293.56677,-1.44,1.79,1,144.57,1,22.55,4.52,8.281,-15.043,0.696,17.186,90185,HIP90185 HD169022 Gli Eps Sgr  Kaus Australis
46195,-19.0104,14.4046,29.4633,0.451,210.59615,-1.08,1.81,1,123.58,1,26.38,2.01,-17.354,-16.061,-12.759,26.868,54061,HIP54061 HD95689 Gli Alp UMa  Dubhe
29551,-352.3441,-573.1152,-97.7415,0.48,66495.64844,-7.33,1.83,1,2216.23,2,1.82,30.77,-20.761,-16.211,-9.215,27.905,34444,HIP34444 HD54605 Gli Del CMa  Wezen
57467,-2.3922,12.6662,28.0541,-0.167,134.64125,-0.6,1.85,1,100.65,1,32.39,2.28,-11.262,-18.004,-7.022,22.367,67301,HIP67301 HD120315 Gli Eta UMa  Alkaid
73514,80.8686,-18.464,-8.6827,0.291,973.55768,-2.75,1.86,1,271.89,1,11.99,7.01,1.77,0.793,-2.334,3.035,86228,HIP86228 HD159532 Gli The Sco  Sargas
34974,14.1325,-188.6018,-42.2785,1.038,5256.54883,-4.58,1.86,1,631.78,1,5.16,9.5,-18.469,10.877,-14.668,25.972,41037,HIP41037 HD71129 Gli Eps Car  Avior
24490,-24.1709,5.3777,4.549,0.071,85.50303,-0.1,1.9,1,82.07,1,39.72,1.96,16.357,-0.402,-9.17,18.757,28360,HIP28360 HD40183 Gli Bet Aur  Menkalinan
70164,96.2283,-76.4459,-33.5257,0.991,2169.00586,-3.62,1.91,1,415.29,1,7.85,8.03,12.326,-4.968,-14.875,19.947,82273,HIP82273 HD150798 Gli Alp TrA  Atria
27252,-30.6736,-9.2454,2.4948,0.021,135.49423,-0.6,1.93,1,104.76,1,31.12,7.49,7.654,-5.311,-4.535,10.361,31681,HIP31681 HD47105 Gli Gam Gem  Almeisan
36598,0.8794,-24.2319,-3.1366,0.046,78.44285,-0.01,1.93,1,79.71,1,40.9,0.93,5.55,-13.757,-1.4,14.9,42913,HIP42913 HD74956 Gli Del Vel 
85578,43.3847,-15.0196,-32.3782,-0.196,410.35529,-1.81,1.94,1,183.15,1,17.8,3.93,15.778,-12.686,-15.532,25.517,100751,HIP100751 HD193924 Gli Alp Pav  The peacock star
10129,-64.9796,98.9966,58.941,0.451,2212.8728,-3.64,1.97,1,431.22,1,7.56,6.35,-14.681,-30.278,-2.863,33.771,11767,HIP11767 HD8890 Gli Alp UMi  Polaris
26163,-102.9869,-106.8687,-37.7418,-0.226,2938.82446,-3.95,1.98,1,499.23,1,6.53,10.11,-23.579,-23.216,-10.907,34.842,30324,HIP30324 HD44743 Gli Bet CMa  Murzim
39589,-22.6797,-41.7503,26.3862,1.038,366.74515,-1.69,1.99,1,177.17,1,18.4,4.24,-1.302,11.957,-4.945,13.004,46390,HIP46390 HD81797 Gli Alp Hya  Alphard
8513,-13.2892,9.4519,-11.9378,0.991,49.78983,0.48,2.01,1,65.89,1,49.48,2,-6.045,-22.358,0.349,23.163,9884,HIP9884 HD12929 Gli Alp Ari  Hamal
43235,-17.903,-13.2719,31.4196,0.902,180.88004,-0.92,2.01,1,125.58,1,25.96,3.2,65.06,-3.013,10.276,65.935,50583,HIP50583 HD89484 Gli  
2945,-1.7302,4.4312,-28.9895,0.902,102.33422,-0.3,2.04,1,95.77,1,34.04,2.41,-30.099,-13.857,-9.976,34.604,3419,HIP3419 HD4128 Gli Bet Cet  Diphda
79005,66.2304,11.1498,-14.8095,-0.181,555.73938,-2.14,2.05,1,224.21,1,14.54,6.05,2.709,-6.173,-8.586,10.916,92855,HIP92855 HD175191 Gli Sig Sgr  Nunki
58822,12.9631,-11.0891,7.6226,0.902,40.64132,0.7,2.06,1,60.91,1,53.52,1.48,-1.739,-66.03,12.78,67.278,68933,HIP68933 HD123139 Gli The Cen  Menkent
4697,-32.8276,43.3946,-27.8475,1.416,430.95648,-1.86,2.07,1,199.27,1,16.36,4.65,-44.606,-30.915,-29.621,61.83,5447,HIP5447 HD6860 Gli Bet And  Mirach
23668,-172.8811,-118.881,-70.1863,-0.242,5645.76953,-4.65,2.07,1,721.24,1,4.52,17.04,-16.62,-13.207,-5.879,22.027,27366,HIP27366 HD38771 Gli Kap Ori  Saiph
591,-9.2585,23.2275,-16.141,-0.005,102.16956,-0.3,2.07,1,97.02,1,33.6,2.17,-9.351,-17.539,-19.974,28.178,677,HIP677 HD358 Gli Alp And  Alpheratz
61912,-11.3527,27.21,25.1835,1.086,173.41927,-0.87,2.07,1,126.41,1,25.79,2.02,-10.314,8.55,12.406,18.259,72607,HIP72607 HD131873 Gli Bet UMi  Kochab
95330,26.8877,-6.5708,-44.2159,1.748,313.87433,-1.52,2.07,1,170.06,1,19.17,3.91,-27.5,-9.518,-18.37,34.413,112122,HIP112122 HD214952 Gli Bet Gru 
73342,10.7111,7.7519,5.4953,0.144,23.43104,1.3,2.08,1,46.68,1,69.84,1.26,25.015,8.45,-2.45,26.517,86032,HIP86032 HD159561 Gli Alp Oph  Ras Alhague
12582,-23.5669,14.1736,-7.3175,-0.03,91.70573,-0.18,2.09,1,92.77,1,35.14,2.56,-3.399,1.606,-0.979,3.885,14576,HIP14576 HD19356 Gli Bet Per  Algol
8311,-75.3993,70.3985,-34.6332,-0.03,1328.52295,-3.08,2.1,1,354.73,1,9.19,7.94,-25.088,-16.112,-20.223,36.028,9640,HIP9640 HD12533 Gli Gam1 And  Almach
49224,-1.209,-3.4412,10.4745,0.095,13.30369,1.92,2.14,1,36.16,1,90.16,0.99,-21.584,-16.514,-4.17,27.494,57632,HIP57632 HD102647 Gli Bet Leo  Denebola
3809,-103.8843,156.4963,-7.0468,-0.257,3785.96606,-4.22,2.15,1,612.78,1,5.32,10.53,-17.241,-16.407,-2.736,23.957,4427,HIP4427 HD5394 Gli Gam Cas  Tsih
52907,20.1398,-33.183,9.5915,0.046,163.59596,-0.81,2.2,1,130.35,1,25.01,4.04,-33.541,-14.644,-2.774,36.703,61932,HIP61932 HD110304 Gli Gam Cen  Muhlifain
